NomAsso,Tel_Asso,Fax_Asso,Mail_Asso,INTERNET,Domaine,Sous-Domaine,Sigle,Adresse,Code_Quartier,Code_Sous_Quartier,Circonscription,Canton,Code_Postal,Longitude,Latitude
H2o Au Fil de l'Eau - Aquafitness - Natation,,,h2o.aquafitness@laposte.net,,SPORTS,NATATION ET PLONGEE,H2O,2 BIS PASSAGE SOIXANTE QUINZE,04,11,2,07,34070,"3,866588184","43,599919426"
Habitat et Humanisme Hérault,04 67 75 55 80,,herault@habitat-humanisme.org,,SOCIAL ET CITOYENNETE,SOLIDARITE,,11  IMPASSE DE LA GARENNE,,,,,,,
Habitat Jeunes Montpellier,04 99 61 46 61,,fjt-castellane@wanadoo.fr,http://www.fjt-montpellier.org,SOCIAL ET CITOYENNETE,HEBERGEMENT,FJT,3 BIS RUE DE LA VIEILLE,07,27,1,01,34000,"3,877151736","43,609607241"
Habiter c'est Choisir,06 73 01 68 05,,habieter_cest_choisir@yahoo.fr,http://www.habiter-c'est-choisir.fr,CULTURE,ARTS PLASTIQUES,HCC,29  RUE DE L'ECOLE DE DROIT,07,26,2,10,34000,"3,86916011","43,608777407"
Halte Pouce,04 67 42 94 10,,contact@halte-pouce.fr,http://halte-pouce.fr,SOCIAL ET CITOYENNETE,HANDICAP,,1620  RUE SAINT-PRIEST,01,02,2,10,34090,"3,833268024","43,637839837"
Hand In Cap,04 67 40 16 85,,hand-in-cap@ifrance.com,http://www.hand-in-cap.the-power.org,SOCIAL ET CITOYENNETE,HANDICAP,,276  LE GRAND MAIL,02,05,2,09,34080,"3,816853448","43,623186341"
Handi Plus,,,handiplus34@hotmail.fr,,SOCIAL ET CITOYENNETE,HANDICAP,HANDI,80  RUE ALFRED JARRY,04,13,4,08,34070,"3,847148628","43,594109878"
Handicap International,09 50 40 27 34,,verene.charbonnier@gmail.com,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,HI,27  RUE DE LA PROVIDENCE,07,26,1,01,34000,"3,875937982","43,61468966"
Handic'Art,04 67 75 51 12,,handicart@wanadoo.fr,,CULTURE,DIVERS CULTURE,,60  PLACE DE LASCAUX,03,09,4,08,34070,"3,833388816","43,598109113"
Hapkido club Montpellier,04 67 16 46 89,,ptouren@yahoo.fr,,SPORTS,ARTS MARTIAUX,HPKM,28  RUE PAUL ELUARD,03,07,2,09,34080,"3,835741499","43,619478508"
Happy Planet Days,04 67 68 89 25,,happyplanetdays@gmail.com,,SANTE,DIVERS SANTE,,172  RUE RAIMON DE TRENCAVEL,04,14,1,06,34070,"3,859023079","43,5899998"
Harmonie Physique et Santé Aquatique,,,hpsa20082009@orange.fr,,SPORTS,NATATION ET PLONGEE,HPSA,70  AVENUE DE CASTELNAU,07,24,3,03,34090,"3,887376369","43,624387549"
HCFDC - IMDESC 34 Sécurité Défense Civile,,,alainpic@me.com,,SOCIAL ET CITOYENNETE,DIVERS SOCIAL,HCFDC,22  RUE DU ROC DE PEZENAS,03,10,4,08,34070,"3,853490037","43,60407058"
Hérault Snooker Club,04 67 22 38 77,04 67 45 47 84,,,LOISIRS,JEUX,,152  AVENUE DE PALAVAS,05,15,1,05,34070,"3,889660785","43,592745773"
Hérault Terre D'Union,04 67 82 35 88,,traitdunion34@live.fr,,CULTURE,DIVERS CULTURE,,20 BIS RUE FREDERIC PEYSON,07,31,1,04,34000,"3,879805075","43,601736531"
Hérault Terre D'Union,04 67 82 35 88,,traitdunion34@live.fr,,CULTURE,DIVERS CULTURE,,20 BIS RUE FREDERIC PEYSON,07,31,1,04,34000,"3,879851918","43,60187745"
Hhaké Runa,04 67 02 04 41,,hhakeruna@no-log.org,http://assoc.hhakeruna.free.fr,CULTURE,CINEMA AUDIO-VISUEL,,1101  AVENUE AGROPOLIS,01,01,2,02,34090,"3,868503525","43,646888321"
Hispanothèque,,,hispanotheque@gmail.com,,INTERNATIONAL,CULTURE ETRANGERE,,4 BIS RUE BAUMES,07,25,2,10,34000,"3,867283164","43,610762889"
Hispanothèque,,,hispanotheque@gmail.com,,INTERNATIONAL,CULTURE ETRANGERE,,4 BIS RUE BAUMES,07,25,2,10,34000,"3,867091093","43,61077649"
Hispanothèque,,,hispanotheque@gmail.com,,INTERNATIONAL,CULTURE ETRANGERE,,4 BIS RUE BAUMES,07,25,2,10,34000,"3,867425988","43,610763345"
Histelpost,04 67 79 04 56,,histelpost@orange.fr,,SCIENCES,HISTOIRE,,17  RUE RONDELET,07,30,1,01,34000,"3,875141126","43,603947529"
Holdub Collectif,04 67 29 80 59,,holdubcollectif@yahoo.fr,,LOISIRS,ANIMATIONS,,6  RUE DU CHEVAL BLANC,07,27,1,01,34000,"3,877295908","43,607290651"
Homéopathie pour Tous,04 67 65 40 02,,homeopourtous@free.fr,homeopourtous.sup.fr,SANTE,THERAPIES,HOMEOPOURT,27  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,880265529","43,614485642"
Horizon Japonais,06 76 08 73 28,,horizonsjaponais@hotmail.fr,,INTERNATIONAL,CULTURE ETRANGERE,,457  AV JUSTICE DE CASTELNAU,01,03,3,03,34090,"3,875506406","43,626641886"
Horizon Parrainage 34,09 77 52 31 60,,horaizonparainage34@wanadoo.fr,http://www.horizonparrainage.com,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,160  RUE DES FRERES LUMIERE,06,20,1,04,34000,"3,905766753","43,610792513"
Hors Commerce,04 67 92 55 98,,administration@hors-commerce.com,hors-commerce.com,CULTURE,DANSE,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866325488","43,605381583"
Hors Commerce,04 67 92 55 98,,administration@hors-commerce.com,hors-commerce.com,CULTURE,DANSE,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866430972","43,605449808"
Hors Commerce,04 67 92 55 98,,administration@hors-commerce.com,hors-commerce.com,CULTURE,DANSE,,42  RUE ADAM DE CRAPONNE,07,29,1,01,34000,"3,866526204","43,605511102"
Hortus Pétanque,,,,,SPORTS,PETANQUE,,164  RUE DE BOLOGNE,02,05,2,09,34080,"3,817736718","43,628492446"
Hospitalité Notre-Dame du Salut,04 67 63 05 74,,,,RELIGIONS ET PHILOSOPHIES,RELIGIONS,,42  AVENUE D'ASSAS,07,23,2,10,34000,"3,864374404","43,614969738"
Hospitalité Saint Roch,04 67 98 30 12,,guycarayon@orange.fr,hospitalite-st-roch.com,SOCIAL ET CITOYENNETE,SOLIDARITE,,31 TER AVENUE DE SAINT LAZARE,07,24,3,03,34000,"3,888651448","43,623912307"
Hospitalité Saint Roch,04 67 98 30 12,,guycarayon@orange.fr,hospitalite-st-roch.com,SOCIAL ET CITOYENNETE,SOLIDARITE,,31 TER AVENUE DE SAINT LAZARE,07,24,3,03,34000,"3,888211582","43,622939129"
Houbagora Rencontre de la Bande Dessinée,04 67 58 54 15,,,,CULTURE,LECTURE,HRBD,3  RUE SAINT LOUIS,07,25,2,07,34000,"3,866812999","43,609636387"
Humanisme Emergence Africaine et Développement,,,,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,HEAD,125  COUR DES PROVINCES,02,04,2,09,34080,"3,824086245","43,633420467"
Hungaro Kultural Club,,,maria.kalan@neuf.fr,,INTERNATIONAL,CULTURE ETRANGERE,HKC,12  RUE MEYRUEIS,07,30,1,01,34000,"3,872496192","43,601830909"
I Dilettanti,04 67 75 42 57,,MICHELETHERAIN@YAHOO.FR,,INTERNATIONAL,CULTURE ETRANGERE,,2800  AVENUE DES MOULINS,02,06,2,09,34080,"3,831186894","43,617250735"
I.Projet-Echanges Internationaux Culture Citoyenneté,04 67 16 46 02,04 67 45 49 33,i-peicc@orange.fr,http://www.i-peicc.fr,EDUCATION,EDUCATION POPULAIRE,IPEICC,139  RUE DE BARI,,,,,,,
iaïdo club Montpellier,04 67 64 63 60,,iaidoclubmontpellier@orange.fr,,SPORTS,ARTS MARTIAUX,,21  COUR ROBERVAL,06,20,1,04,34000,"3,903766911","43,610998879"
Iberia Cultura,04 67 52 16 98,,,,INTERNATIONAL,CULTURE ETRANGERE,,117  RUE DES ETATS GENERAUX,06,22,1,04,34000,"3,899148739","43,604695424"
Ice Roller School Montpellier,,,info@roller34.com,http://www.roller34.com,SPORTS,ROLLER ET SKATE,IRSM,974  AVENUE DU PIREE,06,22,1,04,34000,"3,895215861","43,602212258"
Ici et Maintenant,04 67 04 53 71,,ici.et.maintenant@free.fr,http://yoga-montpellier.fr,SPORTS,YOGA,,665  ROUTE DE MENDE,01,02,2,02,34090,"3,869365057","43,628376384"
Identités et Partage,04 67 63 21 68,,identites.partage@wanadoo.fr,http://monsite.wanadoo.fr/identites.partage,INTERNATIONAL,CULTURE ETRANGERE,,665  ROUTE DE MENDE,01,02,2,02,34090,"3,869365057","43,628376384"
IEFAR Music'All,04 67 52 53 39,,iefar34@free.fr,http://www.iefar.com,CULTURE,MUSIQUE,IEFAR,41  AVENUE D'ASSAS,07,25,2,10,34000,"3,863740914","43,615184995"
Illusion et Macadam,04 67 04 47 94,,contact@illusion-macadam.fr,http://www.illusio-macadam.fr,CULTURE,DIVERS CULTURE,,15  RUE FAUBOURG SAINT JAUMES,07,26,2,10,34000,"3,871020531","43,613230642"
Impression d'Afrique,04 34 00 51 50,,contact@impressiondafrique.fr,http://www.impressiondafrique.fr,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,535  RUE DE L'ESPINOUSE,01,02,2,02,34090,"3,850705197","43,638345166"
Indecosa CGT,04 67 15 91 67,,,,ENVIRONNEMENT ET CADRE DE VIE,CONSOMMATEURS,,474  ALL HENRI II MONTMORENCY,07,28,3,03,34000,"3,888759237","43,610157859"
Info Don 34,04 67 63 19 28,,georges.toulza@sfr.fr,www.infodon34.fr,SANTE,DIVERS SANTE,0,369  RUE DE PUECH VILLA,01,02,2,10,34090,"3,833468592","43,641585712"
Info.Netservices,04 67 45 13 50,04 67 45 13 50,mjugo@free.fr,http://www.infonetservices.net,LOISIRS,INFORMATIQUE,,40  RUE FAVRE DE SAINT CASTOR,02,06,2,09,34080,"3,827629939","43,615383039"
Informatique et Développement,04 67 40 69 03,,informatique.developpement@laposte.net,,COMMUNICATION ET MEDIAS,COMMUNICATION ET MEDIAS,I D,88  ALLEE GEORGES DE CUEVAS,03,07,2,07,34080,"3,838170978","43,620394967"
Ingénieurs des Villes de France - Région Cévennes,04 67 34 70 00,,,,ENTREPRISE ET TRAVAIL,DIVERS ENTREPRISE TRAVAIL,AIVF,1  PLACE FRANCIS PONGE,07,27,3,03,34000,"3,884370451","43,609125047"
Inner Wheel,04 67 04 28 54,,francoise.jacob@yahoo.fr,http://www.innerwheelfrance.org,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,3  RUE DU CLOS RENE,07,31,1,01,34000,"3,880380191","43,606636544"
Institut César - Institut de Langues et de Cultures,04 67 63 43 69,,mail@institutcesar.com,http://www.institutcesar.com,INTERNATIONAL,CULTURE ETRANGERE,,3  RUE DE L'AMANDIER,07,26,1,01,34000,"3,873734688","43,610408817"
Institut de Coopération avec l'Europe Orientale,04 67 54 86 34,,info@association-iceo.fr,http://www.association-iceo.fr,INTERNATIONAL,CULTURE ETRANGERE,ICEO,14  DESCENTE EN BARRAT,07,24,1,01,34000,"3,880352502","43,613329935"
Institut de Culture Musicale,08 10 81 13 50,,achambaz@icm-musique.fr,http://www.icm-montpellier.fr,CULTURE,MUSIQUE,ICM,543  RUE DE LA CASTELLE,04,14,1,06,34070,"3,869539539","43,582390005"
Institut de Droit Européen des Droits de l'Homme,04 67 61 54 58,,,,SCIENCES,DROIT,IDEDH,39  RUE DE L'UNIVERSITE,07,26,1,01,34000,"3,877246093","43,614069192"
Institut de Promotion Sociale,04 67 45 61 40,04 67 45 50 62,montpellier@ipsformation.fr,http://www.ipsformation.com,SOCIAL ET CITOYENNETE,HANDICAP,IPS,216  RUE DES ESCARCELIERS,03,07,2,10,34080,"3,834615145","43,612974285"
Institut de Recherche Historique par Informatique et Statistique,,,,,SCIENCES,HISTOIRE,IRHIS,0,,,,,,,
Institut de Relations Culturelles Franco-Russes,04 67 75 03 56,,relationsculturelles@gmail.com,http://www.relationsculturelles.com,INTERNATIONAL,CULTURE ETRANGERE,,422  AVENUE MAURICE PLANES,04,13,4,08,34070,"3,84739708","43,595441791"
Institut de Victimologie du Languedoc-Roussillon,04 67 56 54 90,,ivlr34@gmail.com,www.ivlr.org,SANTE,THERAPIES,IVLR,183  RUE PRAIRIAL,01,03,3,03,34090,"3,888510517","43,629181608"
Institut Euro-Méditerranéen Universitaire Maïmonide,04 67 02 70 11,,institut.maimonide@cegetel.net,http://www.maimonide-institut.com,RELIGIONS ET PHILOSOPHIES,RELIGIONS,IEUMM,1  RUE DE LA BARRALERIE,07,26,1,01,34000,"3,875509665","43,611169617"
Institut Mediterranéen de Langues,04 67 58 46 88,04 67 58 96 78,thery.boyron@imls.fr,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,,29  RUE DE MAGUELONE,07,31,1,01,34000,"3,88045492","43,605384548"
Institut Metiers d'Art et Patrimoine-Formations L.R,04 67 59 68 06,,ateman34@orange.fr,ateman.fr,CULTURE,ARTISANAT ART,INMAP L.R,53  BD DE BONNES NOUVELLES,07,24,1,01,34000,"3,881072384","43,613241961"
Institut Protestant de Théologie,0143316164,04 67 06 45 91,secretariat@iptmontp.org,http://www.iptheologie.fr,EDUCATION,ENSEIGNEMENT,,13  RUE DOCTEUR LOUIS PERRIER,04,12,1,01,34000,"3,874575652","43,599039661"
Intensités,09 53 59 15 81,,intensites.asso@free.fr,,CULTURE,DIVERS CULTURE,,16  BOULEVARD DU JEU DE PAUME,07,30,1,01,34000,"3,873665612","43,607869393"
International Education Association of Montpellier OUTBOUND,,,contact@ieam.info,http://www.ieam.info,INTERNATIONAL,CULTURE ETRANGERE,IEAM,140  RUE DE JAUSSERAND,06,20,1,04,34000,"3,900732174","43,612664886"
International Karate Organisation Kyokushinkai Matsushima France,,,ikokfrance@aol.com,http://www.ikokfrance.com,SPORTS,ARTS MARTIAUX,IKOKFRANCE,4  RUE POITEVINE,07,26,1,01,34000,"3,873567485","43,610332318"
International Police Association Délégation Hérault,04 67 51 19 90,,,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,IPA,488  RUE DE LA VIEILLE POSTE,06,20,1,04,34000,"3,904020255","43,612992849"
Internes d'Hépato-Gastro-Entérologie du Languedoc-Roussillon,04 67 33 70 63,,,,SANTE,DIVERS SANTE,AIHGEL,0  AVENUE EMILE BERTIN-SANS,,,,,,,
Internet Libre et Ouvert pour Tous dans l'Hérault,04 67 04 40 85,,contact@iloth.net,www.iloth.net,COMMUNICATION ET MEDIAS,COMMUNICATION ET MEDIAS,ILOTH,480  RUE DE CENTRAYRARGUES,05,15,1,05,34070,"3,886174341","43,59593747"
Interstices,,,cie.interstices@gmail.com,,CULTURE,THEATRE,,36  RUE DE L'AIGUILLERIE,07,27,1,01,34000,"3,878971206","43,611679315"
Intervalle - Jalmalv  Montpellier,04 67 03 20 20,,asso@ intervalle-jalmalv 34.fr,http://www.intervalle.asso.fr,SANTE,AIDE AUX MALADES,,298  RUE D'ALCO,03,08,2,07,34080,"3,843246028","43,614866755"
Irlande Culture et Musique,04 67 03 15 61,,,,INTERNATIONAL,CULTURE ETRANGERE,ICM,124  RUE PIERRE CARDENAL,02,04,2,09,34080,"3,818875797","43,637879117"
Italia Nostra-France,04 67 54 37 60,,,,INTERNATIONAL,CULTURE ETRANGERE,INF,20  RUE DE VERMELLES,03,08,2,07,34070,"3,856622089","43,612806834"
IUT Avenir Languedoc,04 99 58 50 40,,,,EDUCATION,ETUDIANTS,,99  AVENUE D'OCCITANIE,01,02,2,02,34090,"3,850387118","43,634907442"
Jalmav Crersi,04 67 68 01 94,,crersi.a@voila.fr,http://crersi.free.fr,SANTE,AIDE AUX MALADES,CRERSI,1  RUE DES MANGUIERS,04,13,4,08,34070,"3,848052625","43,600420976"
Jam - Jazz Action,04 67 58 30 30,04 67 58 48 88,jam@lejam.com,http://www.lejam.com,CULTURE,MUSIQUE,JAM,100  RUE FERDINAND DE LESSEPS,05,17,1,05,34070,"3,878118676","43,593829585"
Janus 34,04 67 04 87 68,,contact@gemjanus34.org,http://www.gemjanus34.org,SANTE,THERAPIES,,1445  ROUTE DE MENDE,01,02,2,02,34090,"3,868160437","43,635079687"
Jardin et Potager,,,jardin-potager@wanadoo.fr,,ENVIRONNEMENT ET CADRE DE VIE,ECOLOGIE,,87  RUE DE LA DRAYE,01,03,3,03,34090,"3,893621156","43,62917879"
Jardin et Potager,,,jardin-potager@wanadoo.fr,,ENVIRONNEMENT ET CADRE DE VIE,ECOLOGIE,,87  RUE DE LA DRAYE,01,03,3,03,34090,"3,893653501","43,629130616"
Jasmin d'Orient,04 99 51 62 78,,jasmindorient34@free.fr,,INTERNATIONAL,CULTURE ETRANGERE,AFJD,87  AVENUE DE PALAVAS,05,16,1,05,34070,"3,888710266","43,594673737"
Jazz à Tous les Etages,04 67 79 03 22,,choeurvaillant@free.fr,http://www.choralemontpellier.com,CULTURE,MUSIQUE,JAZZ,23  PLACE EMILE COMBES,,,,,,,
Jazz Club Montpellier,04.67.41.27.66,,jouillieandre@hotmail.fr,http://jazzclub.montpellier.9online.fr,CULTURE,MUSIQUE,JCM,190  AVENUE DE LODEVE,03,08,2,07,34070,"3,839919325","43,613658301"
Jazz Club Montpellier,04.67.41.27.66,,jouillieandre@hotmail.fr,http://jazzclub.montpellier.9online.fr,CULTURE,MUSIQUE,JCM,190  AVENUE DE LODEVE,03,08,2,07,34070,"3,84008466","43,61363044"
Jazz Ka Diffusion,04 67 79 60 74,,franck.nicolas.jazz@wanadoo.fr,http://www.francknicolas.com,CULTURE,MUSIQUE,,4  IMP DES TANNEURS (COURT),07,24,2,02,34090,"3,877494573","43,615865156"
JE PARS A ZART,,,jeparsazart@gmail.com,,,,JPAZ,17  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,879410703","43,614749162"
Jean Monnet Antigone Pétanque,,,,,SPORTS,PETANQUE,,6  RUE DE LERIDA,04,12,1,06,34070,"3,872297579","43,593185602"
Jet 1 Oeil,,,gtaloeil@yahoo.fr,,CULTURE,CINEMA AUDIO-VISUEL,,12  RUE SAINT HONORE,07,29,2,07,34070,"3,864756228","43,607891521"
Jeune Ballet de Montpellier et de l'Hérault,04 67 27 80 17,,jbmhdanse@wanadoo.fr,http://www.jbmhdanse.com,CULTURE,DANSE,JBMH,96  RUE TATIUS,04,14,1,06,34070,"3,857321848","43,585396701"
Jeune Chambre Economique de Montpellier,,,montpellier@jcef.asso.fr,http://www.jci-montpellier.org,ENTREPRISE ET TRAVAIL,DIVERS ENTREPRISE TRAVAIL,JCEM,121  AVENUE  DE BOIRARGUES,06,22,1,04,34000,"3,899788302","43,60487456"
Jeunes et Anciens de tous Bords,04 67 45 24 69,,,,SOCIAL ET CITOYENNETE,INSERTION,,36  RUE DES BOUISSETTES,,,,,,,
Jeunes Javonistes Ecole Notariat de Montpellier,04 67 54 16 38,04 67 41 00 82,,,EDUCATION,ETUDIANTS,AJJ,0  AVENUE DES APOTHICAIRES,,,,,,,
Jeunesse sans Frontières,,,,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,JSF,168  RUE DE CAMBRIDGE,02,05,2,09,34080,"3,81948749","43,625922551"
Jeux de Mains,04 67 56 02 34,,jeux-de-mains@orange.fr,,CULTURE,DIVERS CULTURE,,11  RUE D'ALGER,07,31,1,01,34000,"3,877747336","43,604644052"
J'Ose Lire et Clair de Plume,04 67 75 36 50,,,,CULTURE,LECTURE,,54  IMPASSE DU VESUVE,02,04,2,09,34080,"3,814207263","43,639022058"
Jouons en Ludothèques,04 67 69 00 81,04 67 69 00 81,jouonsenludotheque2@wanadoo.fr,,EDUCATION,ENFANCE,,74  RUE DANTON,04,13,4,08,34070,"3,844691496","43,599731208"
Judo Amitié Club,04 67 59 46 87,,judoamitieclub@free.fr,http://www.judoamitiéclub.neufblog.com,SPORTS,ARTS MARTIAUX,JCA,2081  ROUTE DE LAVERUNE,04,13,4,08,34070,"3,837555471","43,596574417"
Judo Montpellier Herault,04 67 07 57 97,,judomontpellierherault@yahoo.fr,,SPORTS,ARTS MARTIAUX,,2049  AVENUE DE TOULOUSE,,,,,,,
Jujitsu Montpellier,,,toilloc@hotmail.com,www.jujitsu-montpellier.com,SPORTS,ARTS MARTIAUX,,86  RUE DES GREZES,03,09,2,10,34070,"3,827988125","43,610323611"
Jumeaux et Plus 34,04 67 61 98 05,,sylvianemercand@aol.com,,SOCIAL ET CITOYENNETE,VIE FAMILIALE,,446  RUE DE LA COMBE CAUDE,01,03,3,03,34090,"3,884932576","43,637619763"
Jumelage Européen la Poste France Télécom,04 67 65 40 42,,cosptt.herault@wanadoo.fr,www.eurojumelages.eu,ENTREPRISE ET TRAVAIL,OEUVRES SOCIALES ENTREPRISES,JELPFT,17  RUE RONDELET,07,30,1,01,34000,"3,875141126","43,603947529"
Juristes sans frontières,04 67 61 72 87,,,,INTERNATIONAL,SOLIDARITE INTERNATIONALE,JSF,14  RUE MARCEL DE SERRES,07,25,2,10,34000,"3,864691814","43,612885889"
Kaïna,04 67 56 30 54,,contact@kaina-tv.org,http://kaina-tv.org,CULTURE,CINEMA AUDIO-VISUEL,KAINA,524  AVENUE DE LOUISVILLE,02,05,2,09,34080,"3,815740653","43,626018729"
Kamala,04 67 96 35 65,,kamaladance@orange.fr,,SPORTS,DANSE,,22  RUE DES LISERONS,03,10,4,08,34070,"3,847391477","43,607254378"
Karakwela,09 53 89 20 29,,assokarakwela@hotmail.fr,http://www.karakwela.com,INTERNATIONAL,CULTURE ETRANGERE,,39  PLACE VALENTIN HAUY,01,02,2,10,34090,"3,844771354","43,634308004"
Karaté Montpellier Association,,,contact@c-mam.fr,,SPORTS,ARTS MARTIAUX,KMA,40  IMP DES PERES PELERINS,03,07,2,10,34090,"3,841682144","43,627246442"
Karpediem,04 67 73 92 20,,karpediem.01@waika9.com,http://wwwkarpediem.01.waika9.com,LOISIRS,DIVERS LOISIRS,,135  RUE NIVOSE,06,22,1,04,34000,"3,897888937","43,60375357"
Kawenga Territoires Numériques,04 67 06 51 66,04 67 06 50 15,contact@kawenga.com,http://www.kawenga.com,CULTURE,CINEMA AUDIO-VISUEL,,21  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,879805465","43,61469159"
Keep Kula Sharing is Building,,,keepkula@yahoo.fr,http://keepkula.blogspot.com,ENVIRONNEMENT ET CADRE DE VIE,ENVIRONNEMENT ET CADRE DE VIE,KEEP KULA,120  RUE SALVADOR DALI,01,03,3,03,34090,"3,882520634","43,631086944"
Kendo Montpellier,,,marie.lheureux@orange.fr,http://www.kendomontpellier.fr,SPORTS,ARTS MARTIAUX,,11  RUE DE VERDUN,07,27,1,01,34000,"3,880578459","43,607360912"
Kiné Age Prévention 34,04 67 92 43 96,,kineageprevention34@laposte.net,,SOCIAL ET CITOYENNETE,PREVENTION,,3  BOULEVARD DES ARCEAUX,07,25,2,10,34000,"3,867551","43,611265643"
Kiné Age Prévention 34,04 67 92 43 96,,kineageprevention34@laposte.net,,SOCIAL ET CITOYENNETE,PREVENTION,,3  BOULEVARD DES ARCEAUX,07,25,2,10,34000,"3,867718081","43,611249421"
King Kong Evènementiel,04 67 69 19 65,,p.lefloche@production.fr,http://www.kkeproduction,CULTURE,DIVERS CULTURE,KKE,2  PLACE DE TIBERIADE,05,17,1,05,34070,"3,87755812","43,581518036"
Kino Montpellier,,,kino.mtp@gmail.com,www.kino-mtp.fr,CULTURE,CINEMA AUDIO-VISUEL,KINO MTP,26  RUE HENRI RENE,07,31,1,04,34000,"3,88245413","43,603762889"
Kiosque du Music Hall,04 30 10 49 50,,kiosquedumusichall@live.fr,,CULTURE,MUSIQUE,APMCDC,3 BIS ALLEE PIERRE CARABASSE,02,06,2,10,34080,"3,83083561","43,614325287"
Kokcinelo,,,contact@kokcinelo.fr,www.kokcinelo.fr,SANTE,AIDE AUX MALADES,,10  AV DU PROFESSEUR GRASSET,07,23,2,02,34090,"3,868480584","43,622031828"
Kokcinelo,,,contact@kokcinelo.fr,www.kokcinelo.fr,SANTE,AIDE AUX MALADES,,10  AV DU PROFESSEUR GRASSET,07,23,2,02,34090,"3,868436353","43,622128879"
Kokcinelo,,,contact@kokcinelo.fr,www.kokcinelo.fr,SANTE,AIDE AUX MALADES,,10  AV DU PROFESSEUR GRASSET,07,23,2,02,34090,"3,868526692","43,62193046"
Kroma Europe Sud Promotion et Production,,,,,COMMUNICATION ET MEDIAS,COMMUNICATION ET MEDIAS,,31  RUE PAUL BROUSSE,07,30,1,01,34000,"3,875551585","43,606564561"
Kumbaya Gospel Choir,,,malina96@hotmail.com,,CULTURE,MUSIQUE,KGC,690  RUE DE LA VIEILLE POSTE,06,20,1,04,34000,"3,906017119","43,613828689"
Kung Fu Wu Shu Montpellier,04 67 07 57 97,,kungtushoolinmontpellier@yahoo.fr,http://www.mondedesartsmartiaux.com,SPORTS,ARTS MARTIAUX,,2049  AVENUE DE TOULOUSE,,,,,,,
L ' Equilibre naturel,04 67 42 81 98,,lequilibrenaturel@gmail.com,,SANTE,THERAPIES,,10  IMP JEAN-BAPTISTE LULLY,,,,,,,
La 177ème Section des Médaillés Militaires,04 67 75 88 16,,,,MILITAIRES ANC. COMBATTANTS,MILITAIRES ANC. COMBATTANTS,,20  RUE FRANCOIS MIREUR,04,12,1,06,34070,"3,866616125","43,597383694"
La Baleine Bleue,04 67 61 01 52,,bernadette.carreau@gmail.com,,CULTURE,ARTS PLASTIQUES,,76  RUE SERGE LIFAR,03,07,2,07,34080,"3,838368086","43,620084823"
La Baronnie de Caravètes,,,BARONSDECARAVETE@FREE.FR,,CULTURE,CULTURES REGIONALES,,10  BOULEVARD HENRI IV,07,26,2,10,34000,"3,873451839","43,613970371"
La Bibliothèque Braille Junior,04 67 79 28 79,,,http://www.bbj.asso.fr,SOCIAL ET CITOYENNETE,HANDICAP,BBJ,5  BOULEVARD LOUIS BLANC,07,24,3,03,34000,"3,877951967","43,614849204"
La Boule Catalane Gely Figuerolles,,,,,SPORTS,PETANQUE,,1  PL JEAN ANTOINE DE BAIF,07,29,4,08,34070,"3,860180958","43,605896614"
La Boule du Lantissargues,04 67 42 89 21,,laboulelantissargues@orange.fr,,SPORTS,JEUX DE BOULES,,1341  AVENUE DE MAURIN,04,12,1,06,34070,"3,874921466","43,592977988"
La Boule Valerienne,04 67 42 76 55,,,,SPORTS,PETANQUE,,9  RUE DES MANGUIERS,04,13,4,08,34070,"3,848787554","43,600670412"
La Bourrèio del Clapas,04 67 27 64 16,,rob.tarrou@free.fr,,CULTURE,DANSE,,145  RUE DES FELIBRES,03,09,4,08,34070,"3,838832761","43,599324"
La Boutique d'Ecriture et Co,04 67 02 17 41,04 67 02 00 92,boutiq-ecr@numericable.fr,www.laboutiquedecriture.org,EDUCATION,EDUCATION POPULAIRE,,76  RUE FAUBOURG FIGUEROLLES,07,29,2,07,34070,"3,863657503","43,606268402"
La Boutique d'Ecriture et Co,04 67 02 17 41,04 67 02 00 92,boutiq-ecr@numericable.fr,www.laboutiquedecriture.org,EDUCATION,EDUCATION POPULAIRE,,76  RUE FAUBOURG FIGUEROLLES,07,29,2,07,34070,"3,863748309","43,606290861"
La Bridgerie,04 67 60 45 56,,,,LOISIRS,JEUX,,30  RUE BALARD,07,30,1,01,34000,"3,871521463","43,603599091"
La Briganderie,,,labriganderie@gmail.com,,CULTURE,THEATRE,,236  RUE DU PETIT VERGER,06,19,1,04,34000,"3,899786602","43,616230929"
La Clé des Chants,04 67 42 02 09,,zeneemateo@free.fr,,SOCIAL ET CITOYENNETE,TROISIEME AGE,,134  RUE MARECHAL GALLIENI,04,12,1,06,34070,"3,867827279","43,59138236"
